"","Year","Country","ActionWater","WaterType","Class_cane","Epidemic","YieldOldGrade","Type_Cane","GrooveWide","FertilizerType","TypeSoil","Fertilizer","TargetOldGrade","Yield","Area_Remain","ContractsArea","YieldGrade","FarmerContractGrade","TargetGrade","Rain_Avg"
"28177",2000,"Pakistan","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 2","K99-72","130 cm","Chemical","Silty clay","15-15-15","Grade 3",126.35,24.1,162.38,"Grade 3","C","Grade 3",1497.13
"28180",2003,"Nepal","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 1","LK92-11","120 cm","Chemical","Silty clay","15-15-15","Grade 3",135.04,46.2,157.82,"Grade 3","B","Grade 3",2720.03
"28181",2004,"Nepal","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 1","K84-200","140 cm","Organic","Silty clay","46-0-0","Grade 2",117.14,91.48,129.95,"Grade 2","A","Grade 3",2011.2
"28182",2005,"Bangladesh","Rain","Rain","3rd ratoon cane","Herbicide","Grade 2","Khonkean3","120 cm","Chemical","Loam","25-07-2007","Grade 3",159.65,65.56,218.19,"Grade 2","B","Grade 1",2815.12
"28185",2008,"Pakistan","Rain","Rain","1st ratoon cane","Herbicide","Grade 3","K84-200","150 cm","Organic","Ferus soil","46-0-0","Grade 1",67.28,12.19,410.72,"Grade 2","A","Grade 1",2612.36
"28186",2009,"Pakistan","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 1","Khonkean3","140 cm","Chemical","Silty clay","16-16-16","Grade 3",118.29,98.37,19.89,"Grade 3","C","Grade 3",1937.65
"28190",2013,"India","Water pour","Natural canal","1st ratoon cane","Preemergent","Grade 1","Khonkean3","120 cm","Organic","Loam","15-15-15","Grade 1",157.93,37.76,433.36,"Grade 3","B","Grade 3",2069.45
"28191",2014,"Pakistan","Rain","Groundwater","1st ratoon cane","Preemergent","Grade 2","K84-200","120 cm","Chemical","Loam","16-16-16","Grade 2",94.89,37.65,394.29,"Grade 2","A","Grade 1",2045.72
"28192",2015,"Nepal","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 2","LK92-11","120 cm","Organic","Loam","25-07-2007","Grade 1",118.61,16.08,285.25,"Grade 3","C","Grade 3",2092.76
"28193",2016,"Bangladesh","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 3","Khonkean3","130 cm","Organic","Ferus soil","15-15-15","Grade 1",62.51,39.47,375.12,"Grade 1","C","Grade 1",1982.01
"28194",2017,"India","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 2","K84-200","130 cm","Organic","Loam","25-07-2007","Grade 1",69.96,38.32,282.98,"Grade 1","C","Grade 2",2437.12
"28195",2018,"Bangladesh","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 2","K84-200","140 cm","Organic","Silty clay","25-07-2007","Grade 1",106.5,71.7,33.52,"Grade 1","B","Grade 2",1424.88
"28196",2019,"Bangladesh","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 2","K84-200","150 cm","Chemical","Ferus soil","15-15-15","Grade 3",100.14,80.64,350.3,"Grade 1","C","Grade 3",2432.75
"28197",2020,"Sri Lanka","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 3","LK92-11","140 cm","Organic","Silty clay","16-16-16","Grade 3",71.87,93.92,399.07,"Grade 2","C","Grade 2",2498.49
"28198",2021,"India","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 1","K84-200","150 cm","Chemical","Silty clay","15-15-15","Grade 1",76.26,32.37,363.53,"Grade 3","B","Grade 1",1468.56
"28199",2022,"Nepal","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 1","K99-72","150 cm","Chemical","Ferus soil","25-07-2007","Grade 1",183.75,15.38,413.19,"Grade 1","C","Grade 1",2739.29
"28200",2023,"Sri Lanka","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 1","Khonkean3","130 cm","Organic","Loam","16-16-16","Grade 1",177.9,13.24,370.54,"Grade 3","C","Grade 2",2351.03
"28201",1974,"Sri Lanka","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 3","K99-72","120 cm","Organic","Ferus soil","15-15-15","Grade 1",132.22,25.54,407.82,"Grade 2","B","Grade 2",1723.14
"28202",1975,"Nepal","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 3","K84-200","130 cm","Chemical","Loam","46-0-0","Grade 2",179.22,74.85,186.19,"Grade 1","C","Grade 3",806.69
"28205",1978,"India","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 2","K99-72","150 cm","Organic","Silty clay","16-16-16","Grade 1",82.03,58.33,326.47,"Grade 3","B","Grade 3",1049.05
"28206",1979,"Nepal","Water pour","Groundwater","1st ratoon cane","Herbicide","Grade 3","LK92-11","150 cm","Organic","Silty clay","25-07-2007","Grade 1",194.75,11.5,202.98,"Grade 2","A","Grade 1",1699.29
"28207",1980,"Sri Lanka","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 1","K84-200","150 cm","Organic","Ferus soil","15-15-15","Grade 1",160.73,20.9,479.98,"Grade 2","A","Grade 2",2916.27
"28208",1981,"Nepal","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 2","LK92-11","120 cm","Chemical","Loam","16-16-16","Grade 3",181.44,43.8,467.68,"Grade 2","C","Grade 1",2039.91
"28209",1982,"Pakistan","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 3","K84-200","140 cm","Organic","Ferus soil","46-0-0","Grade 3",116.13,46.4,223.65,"Grade 1","A","Grade 2",977.2
"28210",1983,"Pakistan","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 1","LK92-11","140 cm","Chemical","Ferus soil","46-0-0","Grade 2",63.7,93.2,468.12,"Grade 3","A","Grade 2",790
"28211",1984,"Pakistan","Rain","Natural canal","1st ratoon cane","Preemergent","Grade 3","K99-72","140 cm","Organic","Silty clay","46-0-0","Grade 1",131.49,23,220.7,"Grade 1","C","Grade 3",835.64
"28213",1986,"Nepal","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 1","Khonkean3","120 cm","Organic","Loam","46-0-0","Grade 3",64.41,55.57,363.95,"Grade 3","C","Grade 1",2816.39
"28214",1987,"Sri Lanka","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 1","LK92-11","130 cm","Organic","Ferus soil","25-07-2007","Grade 2",137.06,37.69,217.02,"Grade 3","A","Grade 2",1882.65
"28215",1988,"India","Rain","Rain","2nd ratoon cane","Herbicide","Grade 1","K84-200","120 cm","Organic","Loam","15-15-15","Grade 2",118.67,54,10.86,"Grade 3","C","Grade 1",2853.81
"28216",1989,"Sri Lanka","Rain","Rain","1st ratoon cane","Herbicide","Grade 2","K99-72","120 cm","Chemical","Ferus soil","25-07-2007","Grade 1",54.38,29.86,68.67,"Grade 3","B","Grade 1",1036.72
"28217",1990,"India","Rain","Rain","2nd ratoon cane","Preemergent","Grade 1","LK92-11","150 cm","Chemical","Ferus soil","15-15-15","Grade 1",144.98,67.58,55.44,"Grade 1","A","Grade 3",2699.61
"28219",1992,"Sri Lanka","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 1","Khonkean3","140 cm","Organic","Loam","15-15-15","Grade 1",140.42,74.02,66.08,"Grade 3","B","Grade 1",1691.07
"28220",1993,"Sri Lanka","Rain","Natural canal","1st ratoon cane","Herbicide","Grade 2","Khonkean3","130 cm","Chemical","Ferus soil","15-15-15","Grade 2",95.81,66.56,274.56,"Grade 1","B","Grade 3",2763.15
"28221",1994,"Sri Lanka","Rain","Rain","2nd ratoon cane","Herbicide","Grade 2","K99-72","130 cm","Chemical","Ferus soil","46-0-0","Grade 3",64.68,58.2,88.26,"Grade 2","A","Grade 1",1807.4
"28222",1995,"India","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 1","Khonkean3","130 cm","Organic","Ferus soil","25-07-2007","Grade 3",113.42,53.68,301.58,"Grade 3","A","Grade 2",2953.76
"28223",1996,"India","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 2","LK92-11","150 cm","Organic","Silty clay","16-16-16","Grade 2",79.98,26.07,108.5,"Grade 1","C","Grade 2",2256.37
"28225",1998,"Pakistan","Rain","Rain","3rd ratoon cane","Preemergent","Grade 3","LK92-11","150 cm","Chemical","Ferus soil","25-07-2007","Grade 2",50.44,30.58,114.88,"Grade 2","A","Grade 2",865.24
"28226",1999,"Sri Lanka","Water pour","Rain","2nd ratoon cane","Herbicide","Grade 1","K84-200","120 cm","Chemical","Loam","25-07-2007","Grade 1",55.75,58.09,467.05,"Grade 3","A","Grade 3",2482.44
"28229",2002,"Pakistan","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 1","Khonkean3","130 cm","Chemical","Silty clay","46-0-0","Grade 2",76.42,60.19,170.41,"Grade 2","A","Grade 3",2967.71
"28230",2003,"Sri Lanka","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 3","LK92-11","120 cm","Chemical","Silty clay","15-15-15","Grade 1",190.45,51.9,411.74,"Grade 2","C","Grade 3",1424.91
"28231",2004,"India","Rain","Natural canal","1st ratoon cane","Preemergent","Grade 1","K99-72","140 cm","Chemical","Silty clay","16-16-16","Grade 3",121.25,65.38,129.62,"Grade 2","C","Grade 2",588.29
"28232",2005,"Bangladesh","Rain","Natural canal","1st ratoon cane","Herbicide","Grade 2","Khonkean3","150 cm","Chemical","Silty clay","15-15-15","Grade 1",114.46,71.83,134.12,"Grade 1","A","Grade 2",1409.11
"28233",2006,"Sri Lanka","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 2","K99-72","150 cm","Chemical","Loam","25-07-2007","Grade 2",140.36,57.85,443.33,"Grade 3","A","Grade 1",1945.78
"28234",2007,"Pakistan","Water pour","Rain","1st ratoon cane","Herbicide","Grade 2","K99-72","120 cm","Organic","Loam","25-07-2007","Grade 3",139.18,68.51,79.07,"Grade 3","A","Grade 1",2945.05
"28235",2008,"India","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 2","K84-200","150 cm","Chemical","Loam","46-0-0","Grade 2",145.91,21.53,128.48,"Grade 2","B","Grade 1",2673.33
"28236",2009,"Nepal","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 3","K99-72","150 cm","Organic","Loam","25-07-2007","Grade 2",195.14,19.62,81.52,"Grade 1","C","Grade 3",2799.64
"28237",2010,"Sri Lanka","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 3","K84-200","120 cm","Organic","Ferus soil","15-15-15","Grade 1",176.49,65.55,39.47,"Grade 2","A","Grade 3",2332.12
"28239",2012,"India","Water pour","Groundwater","1st ratoon cane","Herbicide","Grade 3","K99-72","130 cm","Organic","Silty clay","46-0-0","Grade 3",85.85,63.74,209.73,"Grade 3","B","Grade 1",2724.28
"28240",2013,"Sri Lanka","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 2","Khonkean3","130 cm","Organic","Silty clay","15-15-15","Grade 3",60.25,77.73,338.87,"Grade 1","C","Grade 3",2781.7
"28241",2014,"India","Rain","Rain","3rd ratoon cane","Herbicide","Grade 2","Khonkean3","150 cm","Chemical","Silty clay","16-16-16","Grade 1",185.43,40.09,373.3,"Grade 3","C","Grade 2",1862.18
"28242",2015,"Pakistan","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 1","K84-200","120 cm","Chemical","Silty clay","25-07-2007","Grade 2",145.04,37.07,269.12,"Grade 1","C","Grade 3",2717.75
"28244",2017,"Sri Lanka","Rain","Rain","3rd ratoon cane","Preemergent","Grade 1","K99-72","150 cm","Organic","Silty clay","46-0-0","Grade 3",122.58,11.92,350.12,"Grade 1","B","Grade 3",1415.9
"28245",2018,"Pakistan","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 2","K84-200","150 cm","Chemical","Silty clay","15-15-15","Grade 2",94.71,71.45,435.57,"Grade 2","B","Grade 2",959.04
"28246",2019,"India","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 1","LK92-11","150 cm","Organic","Ferus soil","15-15-15","Grade 2",114,83.73,470.2,"Grade 1","B","Grade 2",755.09
"28248",2021,"Pakistan","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 2","K84-200","120 cm","Chemical","Loam","25-07-2007","Grade 1",192.38,72.53,86.92,"Grade 2","B","Grade 2",1179.3
"28249",2022,"India","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 2","Khonkean3","130 cm","Organic","Ferus soil","25-07-2007","Grade 1",174.07,87.01,422.68,"Grade 1","C","Grade 1",2179.73
"28250",2023,"Bangladesh","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 3","K84-200","130 cm","Chemical","Ferus soil","16-16-16","Grade 2",91.36,92.4,183.52,"Grade 1","C","Grade 2",599.95
"28252",1975,"Sri Lanka","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 2","LK92-11","150 cm","Chemical","Silty clay","25-07-2007","Grade 1",181,8.01,145.78,"Grade 1","B","Grade 2",651.7
"28254",1977,"Bangladesh","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 2","K84-200","150 cm","Organic","Loam","25-07-2007","Grade 2",148.29,65.74,455.51,"Grade 3","A","Grade 3",1568.88
"28255",1978,"India","Water pour","Rain","2nd ratoon cane","Herbicide","Grade 3","K99-72","150 cm","Chemical","Loam","15-15-15","Grade 3",108.16,87.07,74.54,"Grade 1","C","Grade 3",2717.51
"28256",1979,"India","Rain","Rain","1st ratoon cane","Herbicide","Grade 2","K84-200","130 cm","Organic","Ferus soil","25-07-2007","Grade 1",194.93,33.66,163.82,"Grade 3","A","Grade 1",1293.58
"28257",1980,"Bangladesh","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 3","LK92-11","140 cm","Chemical","Silty clay","46-0-0","Grade 1",60.71,95.79,460.55,"Grade 3","B","Grade 3",2364.4
"28258",1981,"Sri Lanka","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 3","LK92-11","120 cm","Organic","Loam","15-15-15","Grade 3",97.53,62.65,150.06,"Grade 3","C","Grade 3",2078.17
"28259",1982,"Nepal","Water pour","Natural canal","1st ratoon cane","Preemergent","Grade 3","K99-72","120 cm","Organic","Loam","46-0-0","Grade 3",152.14,40.02,423.72,"Grade 1","B","Grade 1",981.04
"28261",1984,"Nepal","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 2","LK92-11","140 cm","Organic","Silty clay","15-15-15","Grade 2",166.49,12,319.46,"Grade 2","C","Grade 2",2222.84
"28262",1985,"India","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 1","K99-72","130 cm","Organic","Silty clay","15-15-15","Grade 1",81.26,43.57,147.7,"Grade 3","B","Grade 1",1980.23
"28263",1986,"Pakistan","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 1","K99-72","130 cm","Chemical","Silty clay","46-0-0","Grade 2",95.85,98.2,423.65,"Grade 3","B","Grade 2",1071.52
"28264",1987,"Sri Lanka","Rain","Rain","1st ratoon cane","Herbicide","Grade 2","K84-200","130 cm","Organic","Ferus soil","15-15-15","Grade 3",54.81,67.45,213.45,"Grade 2","B","Grade 2",2269.9
"28267",1990,"India","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 1","LK92-11","140 cm","Chemical","Ferus soil","25-07-2007","Grade 3",103.55,56.63,180.5,"Grade 2","A","Grade 3",1421.54
"28268",1991,"Bangladesh","Rain","Rain","1st ratoon cane","Preemergent","Grade 1","K99-72","150 cm","Chemical","Ferus soil","25-07-2007","Grade 1",187.71,70.77,152.79,"Grade 3","B","Grade 3",1419.01
"28269",1992,"India","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 1","K99-72","140 cm","Organic","Ferus soil","46-0-0","Grade 1",58.48,54.14,337.73,"Grade 2","B","Grade 1",543.46
"28270",1993,"Nepal","Rain","Rain","3rd ratoon cane","Preemergent","Grade 2","LK92-11","130 cm","Organic","Loam","16-16-16","Grade 1",147.02,39.62,152.51,"Grade 2","A","Grade 1",2169.4
"28271",1994,"Pakistan","Rain","Rain","2nd ratoon cane","Herbicide","Grade 2","Khonkean3","140 cm","Chemical","Ferus soil","25-07-2007","Grade 3",165.19,31.04,313.11,"Grade 3","A","Grade 2",1754.7
"28272",1995,"Pakistan","Rain","Rain","1st ratoon cane","Preemergent","Grade 3","Khonkean3","120 cm","Organic","Ferus soil","46-0-0","Grade 3",187.05,97.04,151.32,"Grade 3","C","Grade 2",1953.72
"28274",1997,"Bangladesh","Rain","Rain","1st ratoon cane","Preemergent","Grade 3","K84-200","140 cm","Organic","Loam","15-15-15","Grade 3",129.17,31.11,267.11,"Grade 2","A","Grade 3",633.53
"28275",1998,"Nepal","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 2","K84-200","150 cm","Organic","Silty clay","15-15-15","Grade 2",60.96,75.24,457.51,"Grade 2","C","Grade 1",2356.48
"28277",2000,"Pakistan","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 2","K84-200","140 cm","Chemical","Ferus soil","46-0-0","Grade 1",52.89,30.25,33.01,"Grade 3","C","Grade 2",2513.6
"28278",2001,"Sri Lanka","Water pour","Rain","1st ratoon cane","Herbicide","Grade 3","K99-72","130 cm","Organic","Ferus soil","15-15-15","Grade 3",70.39,33.82,249.48,"Grade 1","A","Grade 1",577.29
"28279",2002,"Sri Lanka","Rain","Rain","3rd ratoon cane","Preemergent","Grade 2","LK92-11","150 cm","Chemical","Loam","16-16-16","Grade 2",95.83,83.68,33.41,"Grade 2","C","Grade 3",2638.7
"28280",2003,"Bangladesh","Rain","Rain","3rd ratoon cane","Herbicide","Grade 2","Khonkean3","120 cm","Chemical","Loam","25-07-2007","Grade 3",111.27,38.31,474.53,"Grade 1","B","Grade 2",1880.81
"28281",2004,"Sri Lanka","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 3","Khonkean3","130 cm","Chemical","Silty clay","25-07-2007","Grade 2",122.38,13.59,447.39,"Grade 3","C","Grade 2",736.58
"28282",2005,"Bangladesh","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 3","K99-72","150 cm","Organic","Silty clay","25-07-2007","Grade 2",95.95,85.26,431.93,"Grade 2","B","Grade 1",2812.66
"28284",2007,"Nepal","Rain","Rain","1st ratoon cane","Preemergent","Grade 1","Khonkean3","120 cm","Chemical","Silty clay","25-07-2007","Grade 1",102.17,54.22,256.49,"Grade 2","C","Grade 1",1681.76
"28285",2008,"India","Rain","Groundwater","1st ratoon cane","Preemergent","Grade 2","LK92-11","120 cm","Organic","Silty clay","25-07-2007","Grade 2",167.94,56.47,203.81,"Grade 2","C","Grade 1",2817.53
"28286",2009,"Sri Lanka","Rain","Groundwater","1st ratoon cane","Preemergent","Grade 3","K84-200","120 cm","Organic","Ferus soil","15-15-15","Grade 2",137.86,63.56,21.57,"Grade 2","A","Grade 3",1313.21
"28288",2011,"Sri Lanka","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 3","K99-72","140 cm","Organic","Ferus soil","46-0-0","Grade 1",192.55,37.28,306.91,"Grade 1","B","Grade 1",1736.13
"28289",2012,"Bangladesh","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 2","Khonkean3","120 cm","Organic","Loam","46-0-0","Grade 1",120,71.18,378.07,"Grade 1","A","Grade 2",2593.9
"28290",2013,"Sri Lanka","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 3","LK92-11","120 cm","Organic","Loam","16-16-16","Grade 1",105.32,80.56,329.32,"Grade 2","A","Grade 3",714.3
"28291",2014,"Nepal","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 3","K99-72","150 cm","Organic","Loam","46-0-0","Grade 2",98.13,16.62,436.43,"Grade 1","B","Grade 2",1794.52
"28293",2016,"Sri Lanka","Rain","Rain","3rd ratoon cane","Preemergent","Grade 1","K84-200","120 cm","Chemical","Loam","25-07-2007","Grade 3",85.62,21.47,198.15,"Grade 1","B","Grade 2",1273.32
"28294",2017,"Pakistan","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 2","K99-72","120 cm","Chemical","Loam","16-16-16","Grade 2",161.73,68.8,246.53,"Grade 3","C","Grade 3",1219.33
"28295",2018,"Sri Lanka","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 3","K84-200","120 cm","Organic","Loam","15-15-15","Grade 1",181.85,59.28,235.51,"Grade 3","B","Grade 2",1856.35
"28297",2020,"India","Rain","Rain","3rd ratoon cane","Preemergent","Grade 3","K99-72","130 cm","Chemical","Loam","15-15-15","Grade 3",165.47,70.25,127.74,"Grade 2","C","Grade 2",2946.51
"28298",2021,"Bangladesh","Water pour","Rain","1st ratoon cane","Herbicide","Grade 3","K84-200","120 cm","Chemical","Ferus soil","25-07-2007","Grade 3",83.11,67.77,180.84,"Grade 2","B","Grade 3",1261.68
"28299",2022,"Nepal","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 1","K99-72","140 cm","Organic","Ferus soil","15-15-15","Grade 1",144.57,55.17,19.9,"Grade 2","C","Grade 3",631.06
"28300",2023,"Nepal","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 1","K84-200","130 cm","Organic","Ferus soil","25-07-2007","Grade 2",91.46,35.66,308.48,"Grade 3","C","Grade 1",867.82
"28301",1974,"Sri Lanka","Water pour","Rain","1st ratoon cane","Herbicide","Grade 2","LK92-11","150 cm","Organic","Ferus soil","16-16-16","Grade 2",195.87,13.54,359.55,"Grade 3","A","Grade 3",1565.4
"28302",1975,"Bangladesh","Water pour","Groundwater","1st ratoon cane","Herbicide","Grade 3","Khonkean3","120 cm","Organic","Silty clay","25-07-2007","Grade 3",138.57,23.98,282.36,"Grade 3","A","Grade 2",1462.32
"28303",1976,"India","Water pour","Groundwater","1st ratoon cane","Herbicide","Grade 3","K84-200","120 cm","Chemical","Silty clay","16-16-16","Grade 3",178.14,90.45,72.42,"Grade 3","B","Grade 1",1108.12
"28304",1977,"Bangladesh","Rain","Rain","2nd ratoon cane","Herbicide","Grade 1","K99-72","130 cm","Chemical","Silty clay","46-0-0","Grade 1",132.12,54.39,382.33,"Grade 1","C","Grade 1",2910.09
